data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
18/01/2010;20:29:00;101;sem vitima;42,2;BR-392/RS;Sul;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18/01/2010;21:44:00;106;com vitima;538,3;BR-116/RS;Norte;Colisao Traseira;1;0;0;1;0;0;0;0;0;0;4;1;0;0;0
19/01/2010;14:43:00;59;com vitima;433,4;BR-116/RS;Sul;Saida de Pista;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
19/01/2010;11:46:00;46;sem vitima;461,8;BR-116/RS;Sul;Abalr.Sentido Oposto;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
19/01/2010;23:44:00;105;sem vitima;526,8;BR-116/RS;Norte;Abalr.Mesmo Sentido;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
19/01/2010;15:03:00;60;com vitima;123,2;BR-392/RS;Norte;Saida de Pista;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
19/01/2010;08:43:00;26;com vitima;141,9;BR-392/RS;Sul;Saida de Pista;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0
20/01/2010;01:56:00;5;com vitima;26,6;BR-392/RS;Sul;Tombamento;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0
21/01/2010;23:41:00;97;com vitima;62;BR-392/RS;Sul;Atropelamento de Animal;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
22/01/2010;17:35:00;92;com vitima;406,4;BR-116/RS;Sul;Saida de Pista;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0
22/01/2010;04:37:00;12;com vitima;421;BR-116/RS;Sul;Tombamento;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
22/01/2010;19:06:00;104;com vitima;430,6;BR-116/RS;Norte;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
22/01/2010;08:50:00;21;sem vitima;15,6;BR-293/RS;Norte;Abalr.Transversal;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
22/01/2010;08:04:00;18;com vitima;24,8;BR-392/RS;Norte;Atropelamento de Animal;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
22/01/2010;22:58:00;120;sem vitima;45,9;BR-392/RS;Norte;Atropelamento de Animal;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
22/01/2010;09:57:00;31;com vitima;112,1;BR-392/RS;Sul;Tombamento;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
22/01/2010;18:32:00;100;sem vitima;599,4;BR-116/RS;Sul;Colisao Traseira;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
23/01/2010;11:51:00;42;com vitima;626,3;BR-116/RS;Sul;Saida de Pista;1;0;0;0;0;0;0;0;0;0;3;0;4;0;0
25/01/2010;01:55:00;8;com vitima;428;BR-116/RS;Sul;Abalr.Transversal;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
25/01/2010;15:01:00;72;com vitima;144,4;BR-392/RS;Norte;Saida de Pista;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
26/01/2010;09:10:00;22;sem vitima;15,5;BR-293/RS;Norte;Abalr.Transversal;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
26/01/2010;21:57:00;93;com vitima;102,7;BR-392/RS;Norte;Saida de Pista;1;0;0;1;0;0;0;0;0;0;3;0;1;0;0
26/01/2010;16:46:00;65;sem vitima;108,3;BR-392/RS;Norte;Saida de Pista;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
27/01/2010;14:50:00;59;com vitima;523,5;BR-116/RS;Sul;Colisao Traseira;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
27/01/2010;09:29:00;26;com vitima;118,5;BR-392/RS;Sul;Colisao com Objeto Fixo;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
28/01/2010;13:26:00;54;com vitima;440,6;BR-116/RS;Sul;Saida de Pista;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
28/01/2010;18:52:00;82;com vitima;178,2;BR-392/RS;Norte;Saida de Pista;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1
30/01/2010;10:50:00;27;sem vitima;53,1;BR-392/RS;Norte;Colisao Traseira;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
30/01/2010;16:33:00;62;sem vitima;4,9;BR-604/RS;Sul;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
31/01/2010;12:52:00;46;com vitima;1,2;BR-392/RS;Sul;Colisao Frontal;2;0;0;0;0;0;0;0;0;0;3;1;0;0;0
31/01/2010;18:51:00;85;com vitima;525,2;BR-116/RS;Norte;Abalr.Transversal;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
31/01/2010;00:16:00;1;com vitima;119,7;BR-392/RS;Norte;Colisao com Objeto Fixo;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
01/02/2010;14:36:00;66;com vitima;141,8;BR-392/RS;Norte;Saida de Pista;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
02/02/2010;05:48:00;17;sem vitima;523,9;BR-116/RS;Norte;Abalr.Sentido Oposto;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
02/02/2010;07:12:00;20;com vitima;526;BR-116/RS;Sul;Saida de Pista;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
04/02/2010;04:49:00;14;sem vitima;55,5;BR-293/RS;Norte;Saida de Pista;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
